time,gamma_x,gamma_y,gamma_z
380.007424,-1.0962530239097807,1.913012809895721,-9.659169190185464
380.01536,-1.152853195401925,1.8959229886593818,-9.655871438580778
380.023296,-1.1122681859543768,1.7901795031808099,-9.77228667876005
380.031232,-0.818918347730297,1.740352212818505,-9.98649961457031
380.039168,-0.46165619566135796,1.852333865019265,-10.102425555455193
380.047104,-0.27299597250773805,2.0179883438697033,-10.231286184704825
380.05504,-0.283811231066932,2.1916861249185837,-10.370670773019887
380.062976,-0.42907283224433296,2.460595040807597,-10.315780587476977
380.070912,-0.506775002799724,3.129425052854705,-9.932161888425584
380.078848,-0.557084123658824,3.5269631879770182,-9.80764117941751
380.086784,-0.708823629384267,3.2456246113643314,-10.26098854503491
380.09472,-0.8179532093082049,3.1970158949419347,-10.719811608351408
380.102656,-1.40448968497069,2.3818150810473577,-11.706394822351156
380.110592,-2.268935023606509,1.328074691962934,-12.954993639686478
380.118528,-1.9384064362724769,1.415972217067842,-12.379003096400519
380.126464,-1.8191080980546068,1.522986734212184,-12.06534073853792
380.1344,-1.694646170307752,0.594797953925778,-12.567834317410304
380.142336,-1.429818762950074,-0.436280560907863,-12.90472515655754
380.150272,-1.272682924302595,-0.8725232965946801,-13.295556298349819
380.158208,-1.3157660897003158,-0.678402828587533,-13.544783557156837
380.166144,-1.590019310996465,-0.08001177809450799,-13.812617262881787
380.17408,-1.7967040535466658,0.511831607284742,-14.135632000726307
380.182016,-1.745324450284268,0.846811128489645,-14.420300009035747
380.189952,-1.8309909852679551,0.8966273118367751,-14.963716080730574
380.197888,-2.636071313972837,0.770289328773275,-16.290863370375913
380.205824,-4.4612224655731865,1.4547498714877758,-17.698906882958514
380.21376,-6.00227757686718,2.57419357446989,-17.890386488451586
380.221696,-6.258919347043028,2.6049641146108042,-17.323333792584005
380.229632,-6.485003929634094,1.6862368923946203,-17.660024912084435
380.237568,-7.467406056487151,1.123085687540895,-19.045558065417524
380.245504,-8.208628137941616,1.213141755912791,-20.10557915418582
380.25344,-9.526177364775798,2.208977937481902,-19.72283401234717
380.261376,-9.673795219119881,4.33393992241199,-18.48604690477126
380.269312,-5.904457086083291,6.867036899056347,-17.930442433948343
380.277248,-0.902783752338471,7.4926598657986965,-18.309278952854108
380.285184,-0.07076776441927701,4.8877605614217625,-18.456504829435755
380.29312,-0.926856388105694,3.587528241101908,-18.158743793192876
380.301056,-1.050212989982319,4.4567016564395665,-18.52848413229734
380.308992,-0.632951497585583,5.3484251195851815,-19.00753811379553
380.316928,-2.57418094699878,4.143956214063547,-18.688870969373042
380.324864,-1.846876624944307,3.2186998607467485,-17.424261043038996
380.3328,0.5948141343525121,3.588916007586622,-16.051842120523734
380.340736,-0.366353226706239,3.001782133800838,-13.878734103917134
380.348672,-3.2302989831292783,4.234203178432317,-9.019181262116595
