time,coord_x,coord_y,coord_z
0.0,0.0,0.0,-0.208810083254201
0.0076512,-0.00020129759667200002,0.000148479539059,-0.208649524636165
0.0153024,-0.000589400186012,0.00046820745581099994,-0.20854032856282603
0.0229536,-0.0012805832511460001,0.0009552764907110001,-0.20842914273935
0.0306072,-0.002204345415494,0.0016708884841780001,-0.208374332665964
0.038256,-0.003347895956457,0.002630219953219,-0.20835764512417498
0.0459072,-0.004687013243928,0.003863775847396,-0.208409218979349
0.0535584,-0.006234556758454001,0.005338282455600001,-0.208713683493989
0.0612096,-0.007997278279748,0.007114358198664001,-0.209070725268642
0.0688608,-0.009998507421708,0.009196661576398,-0.209561302370726
0.076512,-0.012217714550071,0.011542623251954999,-0.21012965356546104
0.0841632,-0.014690575558051002,0.014180963105722,-0.210716304798764
0.0918144,-0.017374127678036,0.017076324187806,-0.21141182570039604
0.0994656,-0.020316823799473,0.020181127780625002,-0.21223916412426502
0.1071168,-0.023522119902075003,0.023418540477304003,-0.213204474448554
0.114768,-0.027028192856883,0.026737988520162004,-0.214125238835052
0.1224192,-0.03091105093022,0.030071133107749,-0.215136669954215
0.1300704,-0.035259245342359996,0.033382273506458,-0.21628829434524696
0.1377216,-0.039437277613729,0.036421415831674,-0.217342607223935
0.1453728,-0.043280691118378,0.039443130520102,-0.218311645977513
0.1530248,-0.046917481518762,0.042432027744525,-0.21911265505428199
0.1606752,-0.050386669010875004,0.045427603606289994,-0.219820095875754
0.1683264,-0.05414715959791,0.048672475306330995,-0.22070011931162
0.1759776,-0.058063349734362,0.052173051786948,-0.221588855391546
0.1836288,-0.062192560579526,0.055902769219129005,-0.22268836250156798
0.19128,-0.066463145964251,0.059889121912259,-0.224058874911298
0.1989312,-0.07088143062834101,0.064190017115105,-0.22547263584418803
0.2065824,-0.075383217835581,0.06869314414993799,-0.22702408544643302
0.2142336,-0.080003410116886,0.073298491299,-0.22886713427664498
0.2218848,-0.0847176332026,0.078000570662369,-0.23094982413181497
0.229536,-0.08956016758756401,0.082851444283877,-0.233173405717941
0.2371872,-0.09448273573089098,0.08792818116031301,-0.23540494467033302
0.2448384,-0.09950090616529401,0.09323708308663302,-0.23772108099185102
0.2524896,-0.10463393541969301,0.09879955761683401,-0.240370067739632
0.2601408,-0.10984790131307401,0.10463529494906301,-0.24311222402430702
0.267792,-0.11521143870208099,0.110704470754526,-0.245630502286718
0.2754432,-0.12072750962546303,0.11697379072735699,-0.248232993477563
0.2830944,-0.126402180487316,0.12344913237639801,-0.250712148825596
0.2907464,-0.13223575017106698,0.130143578626944,-0.253245975073094
0.2983968,-0.138232537168395,0.137030344475649,-0.25583803339613603
0.306048,-0.144370728849629,0.144098827291207,-0.258456306138315
0.3136992,-0.150669141542949,0.151354931714444,-0.261234116172475
0.3213504,-0.157109350217964,0.15871316457477302,-0.264111419246448
0.3290016,-0.163631158538279,0.166244091871443,-0.266955625038868
0.3366528,-0.170225485893744,0.17387847413459195,-0.27006817540746
0.344304,-0.17685428709228698,0.18168331358953,-0.273510763869313
0.3519544,-0.18365581619089802,0.189638890067087,-0.277055295762745
0.3596064,-0.19067420123552398,0.197744596980717,-0.28073792582085105
0.3672576,-0.197818761117574,0.20599321268558,-0.284543499972034
0.3749088,-0.20506847890760999,0.214365825948117,-0.28839674949106
